date,open,high,low,close,adjusted close,volume,dividend amount,Ticker
7/31/2006,127.43,128.14,122.39,127.85,89.9876,1691301400,0,SPY
6/30/2006,127.38,129.43,122.34,127.28,89.5864,2163829300,0.5555,SPY
5/31/2006,131.47,132.8,124.76,127.51,89.3501,1752747100,0,SPY
4/28/2006,130.07,131.86,128.02,131.47,92.125,1300327900,0,SPY
3/31/2006,128.6,131.47,127.18,129.83,90.9758,1350777100,0.5195,SPY
2/28/2006,127.82,130.04,125.4,128.23,89.4987,1145244400,0,SPY
1/31/2006,125.19,129.44,124.39,127.5,88.9892,1233910800,0,SPY
12/30/2005,126.02,128.09,124.36,124.51,86.9023,1073146800,0.6717,SPY
11/30/2005,120.58,127.41,120.13,125.41,87.0677,1183732800,0,SPY
10/31/2005,122.96,123.34,116.88,120.13,83.402,1784566400,0,SPY
9/30/2005,122.52,124.74,120.44,123.04,85.4223,1287005000,0.5217,SPY
8/31/2005,123.83,124.74,120.38,122.58,84.7449,1306564800,0,SPY
7/29/2005,119.45,124.64,118.26,123.74,85.5469,1176306400,0,SPY
6/30/2005,119.52,121.94,118.75,119.18,82.3944,1089322900,0.4876,SPY
5/31/2005,116.07,120.25,114.8,119.48,82.2712,1334647300,0,SPY
4/29/2005,118.63,119.26,113.55,115.75,79.7028,1633318500,0,SPY
3/31/2005,120.82,123.25,116.25,117.96,81.2246,1330548800,0.4671,SPY
2/28/2005,118.25,121.67,118.1,120.63,82.7371,1025608400,0,SPY
1/31/2005,121.56,121.76,116.37,118.16,81.043,1184211500,0,SPY
12/31/2004,118.16,121.66,117.73,120.87,82.9017,909170200,0.5679,SPY
11/30/2004,113.56,119.14,113.2,117.89,80.4751,961601700,0.351,SPY
10/29/2004,112.26,114.68,109.35,113.2,77.0458,1044071300,0,SPY
9/30/2004,110.95,113.74,110.41,111.76,76.0657,790891900,0.4688,SPY
8/31/2004,110.19,111.63,106.59,111.11,75.3113,922892000,0,SPY
7/30/2004,114.25,114.4,108.21,110.84,75.1283,954619200,0,SPY
6/30/2004,112.46,114.94,111.87,114.53,77.6294,721880400,0.4138,SPY
5/28/2004,111.37,113.26,108.06,112.86,76.2199,981083900,0,SPY
4/30/2004,113.07,115.41,110.9,110.96,74.9368,968620900,0,SPY
3/31/2004,115.43,116.97,108.85,113.1,76.382,1125003900,0.3948,SPY
2/27/2004,113.7,116.6,112.78,115.02,77.4036,676976900,0,SPY
1/30/2004,111.74,116.5,110.73,113.48,76.3672,737674000,0,SPY
12/31/2003,106.85,111.52,105.96,111.28,74.8867,678350400,0.5156,SPY
11/28/2003,105.75,106.95,103.62,106.45,71.2988,630654200,0,SPY
10/31/2003,100.24,105.97,100.2,105.3,70.5285,831700900,0,SPY
9/30/2003,101.64,104.7,99.25,99.95,66.9451,818513400,0.4001,SPY
8/29/2003,99.19,101.82,96.34,101.44,67.682,772702000,0,SPY
7/31/2003,97.25,101.9,96.43,99.39,66.3142,895260500,0,SPY
6/30/2003,97.53,102.18,96.67,97.63,65.1399,867970200,0.3603,SPY
5/30/2003,91.92,97.09,90.5,96.95,64.4527,881509900,0,SPY
4/30/2003,85.25,92.8,84.91,91.91,61.1021,996114200,0,SPY
3/31/2003,85.26,89.88,79.38,84.74,56.3354,1156870200,0.3544,SPY
2/28/2003,86.14,86.81,81,84.9,56.2196,862248300,0,SPY
1/31/2003,88.85,93.86,84.15,86.06,56.9877,911319900,0,SPY
12/31/2002,95.47,96.05,87.11,88.23,58.4247,728285900,0.4358,SPY
11/29/2002,88.35,94.95,87.45,93.98,61.9323,818243400,0,SPY
10/31/2002,82.43,91.29,77.07,88.52,58.3342,1344248100,0,SPY
9/30/2002,90.73,93.33,80.9,81.79,53.8992,1013828600,0.3781,SPY
8/30/2002,90.88,97.15,83.55,91.78,60.2126,936191200,0,SPY
7/31/2002,99.18,99.8,77.68,91.16,59.8059,1124248800,0,SPY
6/28/2002,107.09,107.6,95.19,98.96,64.9231,534883500,0.3534,SPY
5/31/2002,107.97,111.25,104.9,107.22,70.0926,452626500,0,SPY
4/30/2002,114.23,115.1,106.63,107.86,70.511,404461000,0,SPY
3/28/2002,111.72,117.9,111.51,114.52,74.8648,385578100,0.331,SPY
2/28/2002,113.09,113.3,107.82,111.15,72.4562,424492600,0,SPY
1/31/2002,115.11,117.99,108.4,113.18,73.7795,349380000,0,SPY
12/31/2001,113.65,118,112,114.3,74.5096,308403900,0.3928,SPY
11/30/2001,106.6,116.9,105.7,114.05,74.0934,372515000,0,SPY
10/31/2001,103.9,111.79,102.83,105.8,68.7338,512612000,0,SPY
9/28/2001,113.85,116.17,93.8,104.44,67.8502,419156100,0.369,SPY
8/31/2001,121.97,123.25,112.04,114.15,73.8782,269599600,0,SPY
7/31/2001,122.8,124.32,116.75,121.35,78.538,196892900,0,SPY
6/29/2001,126.2,129.23,120.4,122.6,79.347,203578200,0.3464,SPY
5/31/2001,125.07,132.09,123.44,125.95,81.2841,208040000,0,SPY
4/30/2001,116.3,127.27,109.3,126.66,81.7423,251839700,0,SPY
3/30/2001,124.05,127.75,108.04,116.69,75.308,318187200,0.3155,SPY
2/28/2001,137.1,137.99,121.8,123.95,79.7745,178607000,0,SPY
1/31/2001,132,138.7,127.5625,137.02,88.1864,181296400,0,SPY
12/29/2000,133.1875,139.5625,125.5312,131.1875,84.4326,165416700,0.4113,SPY
11/30/2000,142.25,144.2968,129.75,132.2812,84.8699,156699900,0,SPY
10/31/2000,144.2812,145.75,130.1562,142.9531,91.7169,178392400,0,SPY
9/29/2000,153.25,153.5937,142.125,143.625,92.1479,113203000,0.3753,SPY
8/31/2000,143.625,153.0937,142.625,152.3437,97.4911,102365500,0,SPY
7/31/2000,145.4375,151.9843,141.5156,143,91.5117,106780100,0,SPY
6/30/2000,143.6875,149.1562,143,145.2812,92.9715,127146000,0.3484,SPY
5/31/2000,146.5625,148.4843,136.5,142.8125,91.175,161024000,0,SPY
4/28/2000,150.125,153.1093,133.5,145.0937,92.6314,229246200,0,SPY
3/31/2000,137.625,155.75,135.0312,150.375,96.0031,247594900,0.3708,SPY
2/29/2000,139.75,144.5625,132.7187,137.4375,87.5226,186938300,0,SPY
1/31/2000,148.25,148.25,135,139.5625,88.8758,156770800,0,SPY
12/31/1999,139.3125,147.5625,139,146.875,93.5326,121529300,0.3476,SPY
