date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
2/28/2017,171.1,177.5699,169.95,176.72,25.7915,0.036410908,94554,0,SPTM
1/31/2017,168.42,172.68,167.835,170.5111,24.8854,0.018732755,114752,0,SPTM
12/30/2016,165.23,174.1844,164.14,167.3761,24.4278,0.018661151,129380,0.9228,SPTM
11/30/2016,158.19,166.06,154.62,165.21,23.9803,0.044629244,100427,0,SPTM
10/31/2016,160.62,161.44,157.181,158.1517,22.9558,-0.023211482,527751,0,SPTM
9/30/2016,161.8311,163.3082,158.17,161.9099,23.5013,0.006604675,93515,0.7731,SPTM
8/31/2016,161.24,163.73,159.477,161.6315,23.3471,-0.00046237,401484,0,SPTM
7/29/2016,155.919,161.8692,153.9559,161.7061,23.3579,0.042660989,91313,0,SPTM
6/30/2016,155.88,158.14,147.85,155.0901,22.4022,0.001914184,374015,0.7799,SPTM
5/31/2016,153.86,156.2099,150.26,155.5821,22.3594,0.021480913,120070,0,SPTM
4/29/2016,152.47,156.4699,146.61,152.31,21.8892,-0.002815361,793730,0,SPTM
3/31/2016,143.62,153.63,143.62,152.74,21.951,0.06703286,96035,0.7253,SPTM
2/29/2016,142.1,145.61,133.385,143.832,20.572,0.007887904,44403,0,SPTM
1/29/2016,149.15,149.4199,133.375,142.7064,20.411,-0.062222896,101777,0,SPTM
12/31/2015,156.09,156.73,148.6207,152.175,21.7653,-0.015051204,119825,0.7513,SPTM
11/30/2015,156.43,156.7234,150.36,155.28,22.0979,0.004162444,63874,0,SPTM
10/30/2015,142.828,155.42,141.3216,154.636,22.0063,0.086881149,55506,0,SPTM
9/30/2015,144.26,151.348,139.8,142.275,20.2472,-0.035186032,86750,0.8764,SPTM
8/31/2015,157.29,158.13,101.78,148.34,20.9856,-0.059051411,99463,0,SPTM
7/31/2015,156.96,159.54,153.7,157.65,22.3026,0.015000228,48041,0,SPTM
6/30/2015,159.36,160.11,154.915,155.32,21.973,-0.016515979,52306,0.7265,SPTM
5/29/2015,157.28,160.31,155.7348,158.65,22.342,0.014254585,56900,0,SPTM
4/30/2015,155.84,159.72,154.59,156.4199,22.028,0.004239799,663147,0,SPTM
3/31/2015,158.41,159.05,152.375,155.76,21.935,-0.009800425,83132,0.5631,SPTM
2/27/2015,150.24,159.12,148.81,157.86,22.1521,0.054510401,284182,0,SPTM
1/30/2015,153.95,154.63,148.5,149.6999,21.007,-0.032439329,230473,0,SPTM
12/31/2014,154.26,156.1099,146.13,154.719,21.7113,0.005306366,78959,1.2971,SPTM
11/28/2014,151.7,155.68,149.9545,155.1999,21.5967,0.028017765,62063,0,SPTM
10/31/2014,147.12,151.66,135.9,150.97,21.0081,0.021139152,88135,0,SPTM
9/30/2014,151.37,151.49,146.92,147.845,20.5732,-0.015410238,90081,0.6628,SPTM
8/29/2014,144.54,151.87,142.93,150.8202,20.8952,0.039965758,2873885,0,SPTM
7/31/2014,148.59,151.28,145.0245,145.0245,20.0922,-0.019112758,52118,0,SPTM
